case_id,task_duration(us),device_id,operation,description,m,n,k,A,B,C
74,23.420,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x288_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
75,23.960,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x288_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
76,23.380,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x288_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
77,23.920,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x320_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
78,24.840,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x320_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
79,24.300,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x320_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
80,23.520,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x320_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
81,24.920,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x352_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
82,23.940,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x352_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
83,24.400,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x352_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
84,24.060,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x352_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
85,23.580,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x384_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
86,23.000,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x384_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
87,24.860,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x384_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
88,24.240,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x384_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
89,24.280,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x416_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
90,24.200,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x416_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
91,26.301,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x416_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
92,24.840,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x416_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
93,26.261,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x448_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
94,24.460,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x448_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
95,24.440,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x448_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
96,27.241,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x448_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
97,25.501,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x480_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
98,26.341,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x480_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
99,24.980,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x480_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
100,25.121,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x480_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
