case_id,task_duration(us),device_id,operation,description,m,n,k,A,B,C
43,21.180,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x448_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
44,20.920,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x448_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
45,22.360,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x480_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
46,21.920,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x480_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
47,20.720,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x480_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
48,20.420,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x480_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
49,19.440,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x512_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
50,18.460,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x512_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
51,19.600,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x512_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
52,18.460,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x512_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
53,22.000,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x128_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
